Vaakuna,Kunta-nro[4],Kunnan nimi,Nimitys,Kielet,Kuntakeskus,Maakunta,Seutukunta,Väkiluku[5],Kok.pinta-ala (km²)[6],Maapinta-ala (km²)[6],Väestötiheys(as./km²)
,771,Sund,kunta,ruotsi,Björby,Ahvenanmaa,Ålands landsbygd,1 016,"112,49","108,20","9,4"
,777,Suomussalmi,kunta,suomi,Ämmänsaari,Kainuu,Kehys-Kainuun seutukunta,7 550,"5 857,59","5 270,32","1,4"
,778,Suonenjoki,kaupunki,suomi,Suonenjoen keskustaajama,Pohjois-Savo,Sisä-Savon seutukunta,6 895,"862,34","713,56","9,7"
,781,Sysmä,kunta,suomi,Sysmän kirkonkylä,Päijät-Häme,Lahden seutukunta,3 578,"936,18","666,30","5,4"
,783,Säkylä,kunta,suomi,Säkylän kirkonkylä,Satakunta,Rauman seutukunta,6 608,"527,85","406,89","16,2"
,831,Taipalsaari,kunta,suomi,Taipalsaaren kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta,4 633,"761,95","344,69","13,4"
,832,Taivalkoski,kunta,suomi,Taivalkosken kirkonkylä,Pohjois-Pohjanmaa,Koillismaan seutukunta,3 938,"2 650,61","2 437,79","1,6"
,833,Taivassalo,kunta,suomi,Taivassalon kirkonkylä,Varsinais-Suomi,Vakka-Suomen seutukunta,1 666,"142,01","140,33","11,9"
,834,Tammela,kunta,suomi,Tammelan kirkonkylä[13],Kanta-Häme,Forssan seutukunta,5 995,"715,15","640,58","9,4"
,837,Tampere,kaupunki,suomi,Tampereen keskustaajama,Pirkanmaa,Tampereen seutukunta,244 029,"689,59","524,94","464,9"
,844,Tervo,kunta,suomi,Tervon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta,1 483,"494,30","347,75","4,3"
,845,Tervola,kunta,suomi,Tervolan kirkonkylä,Lappi,Kemi–Tornion seutukunta,2 885,"1 592,21","1 559,86","1,8"
,846,Teuva,kunta,suomi,Teuvan kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta,4 957,"556,05","554,67","8,9"
,848,Tohmajärvi,kunta,suomi,Kemie,Pohjois-Karjala,Keski-Karjalan seutukunta,4 269,"895,36","837,75","5,1"
,849,Toholampi,kunta,suomi,Toholammin kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,2 946,"617,05","608,99","4,8"
,850,Toivakka,kunta,suomi,Toivakan kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,2 401,"413,94","361,45","6,6"
,851,Tornio,kaupunki,suomi,Tornion keskustaajama,Lappi,Kemi–Tornion seutukunta,21 362,"1 229,24","1 188,78",18
,853,Turku,kaupunki,"suomi, ruotsi",Turun keskustaajama,Varsinais-Suomi,Turun seutukunta,195 350,"249,13","245,66","795,2"
,857,Tuusniemi,kunta,suomi,Tuusniemen kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta,2 421,"699,42","543,18","4,5"
,858,Tuusula,kunta,suomi,Hyrylä[7],Uusimaa,Helsingin seutukunta,39 494,"225,45","219,54","179,9"
,859,Tyrnävä,kunta,suomi,Tyrnävän kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,6 612,"494,86","491,81","13,4"
,886,Ulvila,kaupunki,suomi,Vanhakylä[8],Satakunta,Porin seutukunta,12 672,"422,51","400,63","31,6"
,887,Urjala,kunta,suomi,Urjalan kirkonkylä,Pirkanmaa,Etelä-Pirkanmaan seutukunta,4 649,"505,40","475,41","9,8"
,889,Utajärvi,kunta,suomi,Utajärven kirkonkylä,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,2 574,"1 737,28","1 671,72","1,5"
,890,Utsjoki,kunta,"suomi, pohjoissaame",Utsjoen kirkonkylä,Lappi,Pohjois-Lapin seutukunta,1 181,"5 372,00","5 145,98","0,2"
,892,Uurainen,kunta,suomi,Uuraisten kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,3 620,"372,25","347,98","10,4"
,893,Uusikaarlepyy,kaupunki,"ruotsi, suomi",Uudenkaarlepyyn keskustaajama,Pohjanmaa,Jakobstadsregionen,7 536,"737,21","732,70","10,3"
,895,Uusikaupunki,kaupunki,suomi,Uudenkaupungin keskustaajama,Varsinais-Suomi,Vakka-Suomen seutukunta,15 485,"550,32","502,93","30,8"
,785,Vaala,kunta,suomi,Vaalan kirkonkylä,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,2 682,"1 763,57","1 302,38","2,1"
,905,Vaasa,kaupunki,"suomi, ruotsi",Vaasan keskustaajama,Pohjanmaa,Vaasan seutukunta,67 696,"369,54","364,72","185,6"
,908,Valkeakoski,kaupunki,suomi,Valkeakosken keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta,20 674,"372,03","272,05",76
,092,Vantaa,kaupunki,"suomi, ruotsi",Tikkurila[7],Uusimaa,Helsingin seutukunta,238 608,"240,35","238,37",1 001
,915,Varkaus,kaupunki,suomi,Varkauden keskustaajama,Pohjois-Savo,Varkauden seutukunta,20 082,"524,47","385,61","52,1"
,918,Vehmaa,kunta,suomi,Vinkkilä,Varsinais-Suomi,Vakka-Suomen seutukunta,2 272,"192,08","188,88",12
,921,Vesanto,kunta,suomi,Vesannon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta,1 960,"569,81","422,63","4,6"
,922,Vesilahti,kunta,suomi,Vesilahden kirkonkylä,Pirkanmaa,Tampereen seutukunta,4 425,"353,94","301,04","14,7"
,924,Veteli,kunta,suomi,Kainu[26],Keski-Pohjanmaa,Kaustisen seutukunta,3 028,"520,91","502,13",6
,925,Vieremä,kunta,suomi,Vieremän kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,3 507,"973,38","925,24","3,8"
,927,Vihti,kunta,suomi,Nummela,Uusimaa,Helsingin seutukunta,29 247,"567,06","522,02",56
,931,Viitasaari,kaupunki,suomi,Viitasaaren keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,6 079,"1 589,12","1 248,54","4,9"
,934,Vimpeli,kunta,suomi,Vimpelin kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta,2 770,"328,79","287,32","9,6"
,935,Virolahti,kunta,suomi,Virojoki,Kymenlaakso,Kotka–Haminan seutukunta,3 052,"376,25","371,99","8,2"
,936,Virrat,kaupunki,suomi,Virtain keskustaajama,Pirkanmaa,Ylä-Pirkanmaan seutukunta,6 464,"1 299,07","1 162,68","5,6"
,941,Vårdö,kunta,ruotsi,Vårdö,Ahvenanmaa,Ålands skärgård,466,"102,09","101,70","4,6"
,946,Vöyri,kunta,"ruotsi, suomi",Vöyrin kirkonkylä,Pohjanmaa,Vaasan seutukunta,6 362,"791,32","782,14","8,1"
,976,Ylitornio,kunta,suomi,Ylitornion kirkonkylä,Lappi,Torniolaakson seutukunta,3 836,"2 212,47","2 028,04","1,9"
,977,Ylivieska,kaupunki,suomi,Ylivieskan keskustaajama,Pohjois-Pohjanmaa,Ylivieskan seutukunta,15 337,"574,18","569,73","26,9"
,980,Ylöjärvi,kaupunki,suomi,Ylöjärven kirkonkylä[17],Pirkanmaa,Tampereen seutukunta,33 427,"1 323,96","1 115,75",30
